id,year,title,venue,setting,domain,inputs,state,fusion,association,online,calibration,multimodal,low_light,headline,relation,url
MCTR,2025,MCTR: Multi Camera Tracking Transformer,WACV 2025 Workshop / arXiv 2024,"2D MTMC, overlapping cameras",people / indoor,RGB,2D + global track embeddings,Early global tracking state (not full 3D),learned end-to-end tracking + association modules,Yes,No,No,No,71.81 HOTA / 80.21 IDF1 / 91.19 MOTA on MMPTrack industry; 9 FPS,Turns DETR-style E2E MOT into multi-camera tracking; strong rebuttal to heuristic-heavy pipelines.,https://arxiv.org/abs/2408.13243
GMT,2025,GMT: Effective Global Framework for Multi-Camera Multi-Target Tracking,arXiv v2 2025,"2D MCMT, overlapping cameras",pedestrian,RGB,Global trajectories across views,Global trajectory modeling,CFCE + GTA transformer association,Not emphasized,Uses spatial cues,No,No,Up to +21.3% CVMA / +17.2% CVIDF1 over prior two-stage frameworks,Pushes the field from per-view trajectories to cross-view global trajectory objects.,https://arxiv.org/abs/2407.01007
ADA-Track,2024,ADA-Track,CVPR 2024,Multi-camera 3D MOT,autonomous driving / nuScenes,RGB multi-view,3D object queries,Sparse query-based multi-view fusion,Alternating detection and association,Yes,Yes,No,No,0.456 AMOTA on nuScenes test; beats STAR-Track and PF-Track,Combines tracking-by-attention and tracking-by-detection; a pivotal query-based 3D tracker.,https://openaccess.thecvf.com/content/CVPR2024/html/Ding_ADA-Track_End-to-End_Multi-Camera_3D_Multi-Object_Tracking_with_Alternating_Detection_and_CVPR_2024_paper.html
ADA-Track++,2025,ADA-Track++,arXiv 2024/2025,Multi-camera 3D MOT,autonomous driving / nuScenes,RGB multi-view,3D object queries,Sparse query-based multi-view fusion,Edge-augmented cross-attention + auxiliary token,Yes,Yes,No,No,0.500 AMOTA on nuScenes test; +0.7 to +1.1 AMOTA over ADA-Track depending on detector,Refines ADA-Track by making association itself more stable and less confused.,https://arxiv.org/abs/2405.08909
MCBLT,2025,MCBLT: Multi-Camera Multi-Object 3D Tracking in Long Videos,arXiv 2024 / revised 2025,Outside-in 3D MTMC,indoor infrastructure,RGB + camera parameters,3D BEV detections + graphs,BEV + hierarchical GNN,Graph-based long-term association,Not main focus,Yes,No,No,81.22 HOTA on AI City 2024; 95.6 IDF1 on WILDTRACK,Strong geometry-first long-horizon design; influential bridge between BEV perception and MTMC association.,https://arxiv.org/abs/2412.00692
ADMCMT,2025,All-Day Multi-Camera Multi-Target Tracking (ADMCMT + M3Track),CVPR 2025,All-day MCMT,pedestrian / UAV / low light,RGB + thermal,2D tracking with multimodal fusion,All-Day Mamba Fusion (ADMF),Transformer tracking + Nearby Target Collection,Yes,Overlap-based,Yes,Yes,Introduces first RGBT MCMT dataset M3Track; strong generalization across lighting conditions,Adds the modality story the mostly-RGB literature lacked.,https://openaccess.thecvf.com/content/CVPR2025/html/Fan_All-Day_Multi-Camera_Multi-Target_Tracking_CVPR_2025_paper.html
DepthTrack,2025,DepthTrack: Cluster Meets BEV for Multi-Camera Multi-Target 3D Tracking,ICCV 2025 Workshop / AI City 2025,3D MTMC challenge system,warehouse / indoor,RGB + depth maps,BEV tracklets + clustered point clouds,Tracklet-Cluster Mapping (TCM),Modular association with ReID and geometry,No,Yes,Depth,Partial (low-light enhancement),2nd place AI City 2025 Track 1; 63.14 HOTA,Representative of high-performing geometry-first offline pipelines in synthetic/structured spaces.,https://openaccess.thecvf.com/content/ICCV2025W/AICity/papers/Tran_DepthTrack_Cluster_Meets_BEV_for_Multi-Camera_Multi-Target_3D_Tracking_ICCVW_2025_paper.pdf
TeamQDT,2025,Online 3D Multi-Camera Perception through Robust 2D Tracking and Depth-based Late Aggregation,ICCV 2025 Workshop / AI City 2025,Online 3D MTMC challenge system,warehouse / indoor,RGB + depth maps,2D tracks upgraded to 3D boxes,Late-stage depth fusion,2D MOT + global ID consistency + clustering,Yes,Yes,Depth,No,3rd place AI City 2025 Track 1; 28.75 HOTA official challenge score,A practical recipe for teams that already have strong 2D MTMC and want a 3D path without retraining everything.,https://arxiv.org/html/2509.09946v1
Sparse4D-OI,2026,A Unified 3D Object Perception Framework for Real-Time Outside-In Multi-Camera Systems,arXiv 2026,Outside-in 3D MTMC,industrial infrastructure,RGB only,World-coordinate sparse 3D queries,Early multi-view aggregation in shared world frame,Temporal memory + occlusion-aware ReID,Yes,Yes,No,No,45.22 HOTA on AI City 2025; best online camera-only result among reported systems,Adapts Sparse4D from autonomous driving to fixed-camera infrastructure and shows the promise of query-memory systems.,https://arxiv.org/abs/2601.10819
CALIBFREE,2026,CALIBFREE,ICLR 2026 withdrawn submission,Calibration-free MCMT,surveillance,RGB,Learned view-agnostic/view-specific embeddings,Self-supervised feature disentanglement,Representation-learning first,Potentially,No,No,No,Reported +3% overall accuracy and +7.5 F1 on MMP-MvMHAT,Promising direction for deployments where calibration is unavailable or drifts over time.,https://openreview.net/forum?id=4kb6vectZ3
DGT,2026,Dynamic Global Tracking (DGT),Scientific Reports 2026,Online MCMT,multi-camera vehicle tracking,RGB,Global trajectories during tracking,Hybrid Fusion Module,Integrates cross-camera association into tracking loop,Yes,Not required in core design,No,No,IDF1 61.19 (speed) / 70.49 (performance) at 90 FPS on HST,Strong example of deployment-oriented online global association.,https://www.nature.com/articles/s41598-026-35768-z
